iter	Passed	Remaining
625	1727	1031
626	1728	1028
627	1731	1025
628	1735	1023
629	1740	1022
630	1745	1020
631	1747	1017
632	1751	1015
633	1763	1017
634	1776	1021
635	1779	1018
636	1781	1015
637	1785	1012
638	1787	1009
639	1792	1008
640	1795	1005
641	1797	1002
642	1800	999
643	1803	996
644	1806	994
645	1808	991
646	1813	989
647	1819	988
648	1822	985
649	1824	982
650	1826	979
651	1828	976
652	1830	972
653	1833	970
654	1836	967
655	1839	964
656	1842	961
657	1843	958
658	1845	955
659	1848	952
660	1856	952
661	1861	950
662	1867	949
663	1870	946
664	1872	943
665	1876	940
666	1880	938
667	1883	935
668	1885	933
669	1891	931
670	1900	931
671	1907	931
672	1909	928
673	1912	925
674	1914	921
675	1916	918
676	1918	915
677	1919	911
678	1922	908
679	1924	905
680	1927	903
681	1930	900
682	1933	897
683	1936	894
684	1938	891
685	1942	889
686	1947	887
687	1950	884
688	1953	881
689	1957	879
690	1959	876
691	1962	873
692	1964	870
693	1966	867
694	1968	863
695	1970	860
696	1972	857
697	1974	854
698	1991	857
699	2000	857
700	2002	854
701	2009	852
702	2011	849
703	2012	846
704	2016	843
705	2018	840
706	2023	838
707	2026	835
708	2029	832
709	2031	829
710	2033	826
711	2035	823
712	2037	819
713	2039	816
714	2041	813
715	2042	810
716	2044	806
717	2045	803
718	2047	800
719	2049	796
720	2050	793
721	2053	790
722	2055	787
723	2056	784
724	2058	780
725	2059	777
726	2061	774
727	2063	770
728	2064	767
729	2066	764
730	2068	761
731	2070	757
732	2071	754
733	2073	751
734	2074	748
735	2076	744
736	2078	741
737	2079	738
738	2081	735
739	2082	731
740	2084	728
741	2085	725
742	2087	722
743	2089	718
744	2090	715
745	2093	712
746	2094	709
747	2096	706
748	2097	702
749	2099	699
750	2100	696
751	2102	693
752	2103	690
753	2105	686
754	2107	683
755	2109	680
756	2110	677
757	2112	674
758	2113	671
759	2115	668
760	2117	664
761	2118	661
762	2121	658
763	2123	655
764	2125	653
765	2128	650
766	2130	647
767	2132	644
768	2136	641
769	2139	639
770	2142	636
771	2147	634
772	2150	631
773	2152	628
774	2154	625
775	2155	622
776	2157	619
777	2158	615
778	2160	612
779	2161	609
780	2163	606
781	2165	603
782	2167	600
783	2168	597
784	2170	594
785	2171	591
786	2173	588
787	2175	585
788	2177	582
789	2179	579
790	2181	576
791	2182	573
792	2184	570
793	2185	567
794	2187	563
795	2188	560
796	2190	557
797	2192	555
798	2194	552
799	2196	549
800	2198	546
801	2199	543
802	2201	540
803	2225	542
804	2227	539
805	2228	536
806	2230	533
807	2231	530
808	2233	527
809	2234	524
810	2236	521
811	2238	518
812	2240	515
813	2241	512
814	2243	509
815	2244	506
816	2246	503
817	2247	500
818	2249	497
819	2250	494
820	2252	491
821	2254	488
822	2255	485
823	2257	482
824	2259	479
825	2260	476
826	2261	473
827	2263	470
828	2265	467
829	2267	464
830	2269	461
831	2270	458
832	2272	455
833	2273	452
834	2275	449
835	2277	446
836	2279	443
837	2281	440
838	2285	438
839	2286	435
840	2288	432
841	2290	429
842	2292	426
843	2293	423
844	2295	421
845	2296	418
846	2298	415
847	2300	412
848	2302	409
849	2304	406
850	2305	403
851	2307	400
852	2310	398
853	2311	395
854	2314	392
855	2315	389
856	2317	386
857	2319	383
858	2321	381
859	2323	378
860	2325	375
861	2327	372
862	2329	369
863	2332	367
864	2334	364
865	2335	361
866	2337	358
867	2338	355
868	2342	353
869	2346	350
870	2348	347
871	2349	344
872	2351	342
873	2352	339
874	2355	336
875	2357	333
876	2359	330
877	2360	328
878	2362	325
879	2364	322
880	2366	319
881	2367	316
882	2370	314
883	2372	311
884	2374	308
885	2375	305
886	2377	302
887	2379	300
888	2380	297
889	2382	294
890	2384	291
891	2386	288
892	2387	286
893	2389	283
894	2391	280
895	2392	277
896	2394	274
897	2395	272
898	2397	269
899	2398	266
900	2400	263
901	2403	261
902	2404	258
903	2406	255
904	2410	253
905	2411	250
906	2413	247
907	2415	244
908	2416	241
909	2418	239
910	2420	236
911	2421	233
912	2423	230
913	2424	228
914	2426	225
915	2445	224
916	2449	221
917	2451	218
918	2452	216
919	2454	213
920	2456	210
921	2458	207
922	2459	205
923	2461	202
924	2462	199
925	2464	196
926	2466	194
927	2467	191
928	2469	188
929	2470	185
930	2472	183
931	2474	180
932	2475	177
933	2477	175
934	2478	172
935	2479	169
936	2481	166
937	2482	164
938	2484	161
939	2485	158
940	2487	155
941	2489	153
942	2490	150
943	2492	147
944	2493	145
945	2495	142
946	2496	139
947	2498	137
948	2500	134
949	2501	131
950	2503	128
951	2504	126
952	2506	123
953	2508	120
954	2509	118
955	2511	115
956	2512	112
957	2514	110
958	2516	107
959	2517	104
960	2519	102
961	2521	99
962	2522	96
963	2524	94
964	2525	91
965	2527	88
966	2529	86
967	2530	83
968	2532	81
969	2535	78
970	2537	75
971	2539	73
972	2540	70
973	2542	67
974	2544	65
975	2545	62
976	2547	59
977	2548	57
978	2550	54
979	2551	52
980	2553	49
981	2554	46
982	2556	44
983	2558	41
984	2560	38
985	2561	36
986	2563	33
987	2564	31
988	2566	28
989	2567	25
990	2569	23
991	2570	20
992	2572	18
993	2574	15
994	2575	12
995	2577	10
996	2578	7
997	2580	5
998	2581	2
999	2583	0
